Year,Month,Day,Transect length,Sample,Time,Small Insects,Large insects,Column,Total Insects,Proportion large insects,Wind,Cloud cover,Precipitation,Temperature
1997,8,67,"1,2",1,7,8,2,10,10,181.818.182,0,0,0,"14,00"
1997,8,68,"1,2",1,7,5,0,5,5,0,0,0,0,"16,00"
1997,8,69,"1,2",1,7,4,1,5,5,166.666.667,0,0,0,"17,00"
1997,8,70,"1,2",1,7,9,1,10,10,90.909.091,0,0,0,"16,00"
1997,8,71,"1,2",1,"8,25",6,1,7,7,125,0,1,0,"16,00"
1997,8,73,"1,2",2,"13,25",15,0,15,15,0,1,1,0,"14,00"
1997,8,73,"1,2",1,"6,5",4,0,4,4,0,1,2,0,"16,00"
1997,8,73,"1,2",3,"18,25",25,1,26,26,37.037.037,1,2,0,"12,00"
1997,8,75,"1,2",1,"6,5",11,0,11,11,0,1,0,0,"17,00"
1997,8,76,"1,2",3,"19,5",36,0,36,36,0,1,1,0,"20,00"
1997,8,76,"1,2",2,"12,33",13,1,14,14,66.666.667,0,2,0,"18,00"
1997,8,76,"1,2",1,"6,42",2,0,2,2,0,1,7,0,"20,00"
1997,8,77,"1,2",1,"6,75",1,0,1,1,0,1,6,0,"16,00"
1997,8,78,"1,2",1,"6,92",1,0,1,1,0,1,5,0,"18,00"
1997,8,79,"1,2",1,"6,5",4,0,4,4,0,0,0,0,"15,00"
1997,8,80,"1,2",1,"6,5",2,0,2,2,0,0,1,0,"17,00"
1997,8,80,"1,2",2,"11,58",14,0,14,14,0,0,1,0,"21,00"
1997,8,80,"1,2",3,"18,58",15,0,15,15,0,0,5,0,"24,00"
1997,8,81,"1,2",1,"6,67",2,0,2,2,0,0,0,0,"17,00"
1997,8,82,"1,2",1,"7,1",3,1,4,4,"0,2",0,0,0,"24,00"
1998,6,5,"1,2",1,"6,75",3,0,3,3,0,3,0,0,"23,00"
1998,6,6,"1,2",1,"6,83",2,0,2,2,0,1,6,0,"18,00"
1998,6,7,"1,2",1,"6,58",0,0,0,0,0,1,8,1,"11,00"
1998,6,8,"1,2",1,"6,83",0,0,0,0,0,2,8,1,"11,00"
1998,6,8,"1,2",2,"11,67",0,0,0,0,0,3,8,1,"13,00"
1998,6,12,"1,2",1,"7,5",1,0,1,1,0,1,3,0,"14,00"
1998,6,12,"1,2",3,"18,25",0,0,0,0,0,3,5,0,"13,00"
1998,6,12,"1,2",2,"11,5",0,0,0,0,0,2,6,0,"13,00"
1998,6,13,"1,2",1,"6,58",0,0,0,0,0,3,1,0,"13,00"
1998,6,14,"1,2",1,"6,58",4,0,4,4,0,0,0,0,"11,00"
1998,6,15,"1,2",1,"6,83",3,0,3,3,0,1,4,0,"9,00"
1998,6,19,"1,2",3,"19,25",1,0,1,1,0,2,1,0,"15,00"
1998,6,19,"1,2",2,"10,42",1,0,1,1,0,1,3,0,"17,00"
1998,6,19,"1,2",1,"6,75",0,0,0,0,0,1,6,0,"14,00"
1998,6,20,"1,2",1,"6,75",2,0,2,2,0,2,4,0,"17,00"
1998,6,21,"1,2",1,7,2,0,2,2,0,0,7,0,"13,00"
1998,6,23,"1,2",1,7,0,0,0,0,0,2,1,0,"15,00"
1998,6,24,"1,2",1,7,0,0,0,0,0,0,8,1,"12,00"
1998,6,25,"1,2",1,"6,75",1,0,1,1,0,1,7,0,"14,00"
1998,6,26,"1,2",1,"6,5",0,0,0,0,0,0,4,0,"17,00"
1998,6,26,"1,2",2,"12,5",2,0,2,2,0,1,5,0,"20,00"
1998,7,32,"1,2",1,"6,92",0,0,0,0,0,1,7,0,"14,00"
1998,7,33,"1,2",2,"14,58",2,1,3,3,"0,25",2,5,0,"14,00"
1998,7,33,"1,2",1,"6,67",0,1,1,1,"0,5",2,7,0,"20,00"
1998,7,33,"1,2",3,18,2,0,2,2,0,1,7,0,"17,00"
1998,7,34,"1,2",1,7,1,0,1,1,0,2,8,1,"20,00"
1998,7,36,"1,2",1,"6,5",1,0,1,1,0,3,4,0,"14,00"
1998,7,37,"1,2",1,"6,75",4,0,4,4,0,1,1,0,"20,00"
1998,7,40,"1,2",1,"6,58",1,0,1,1,0,2,0,0,"23,00"
1998,7,41,"1,2",1,"7,25",7,0,7,7,0,1,8,1,"25,00"
1998,7,42,"1,2",2,"13,5",1,1,2,2,333.333.333,1,2,0,"13,00"
1998,7,42,"1,2",1,"6,83",0,0,0,0,0,0,7,0,"13,00"
1998,7,42,"1,2",3,,5,0,5,5,0,0,7,0,"11,00"
1998,7,46,"1,2",1,"7,67",1,0,1,1,0,2,6,0,"11,00"
1998,7,47,"1,2",1,"6,67",0,0,0,0,0,0,1,0,"22,00"
1998,7,47,"1,2",2,,0,0,0,0,0,1,7,0,"22,00"
1998,8,63,"1,2",1,"7,33",0,1,1,1,"0,5",2,8,1,"13,00"
1998,8,63,"1,2",2,12,0,0,0,0,0,2,8,1,"25,00"
1998,8,64,"1,2",1,"6,67",4,0,4,4,0,0,8,1,"20,00"
1998,8,64,"1,2",2,,8,0,8,8,0,1,8,1,"22,00"
1998,8,65,"1,2",1,"6,83",2,0,2,2,0,2,8,1,"24,00"
1998,8,67,"1,2",1,"6,67",2,0,2,2,0,2,6,0,"14,00"
1998,8,68,"1,2",1,"6,5",2,0,2,2,0,2,2,0,"17,00"
1998,8,68,"1,2",3,"18,33",0,0,0,0,0,3,3,0,"18,00"
1998,8,68,"1,2",2,"11,67",2,0,2,2,0,3,5,0,"20,00"
1998,8,69,"1,2",1,"6,67",2,0,2,2,0,0,8,1,"14,00"
1998,8,70,"1,2",1,"6,67",0,0,0,0,0,0,0,0,"23,00"
1998,8,71,"1,2",1,"6,5",2,0,2,2,0,0,8,1,"14,00"
1998,8,72,"1,2",1,"6,5",2,0,2,2,0,0,8,1,"16,00"
1998,8,73,"1,2",1,"6,67",4,0,4,4,0,2,1,0,"16,00"
1998,8,74,"1,2",1,7,2,0,2,2,0,1,5,0,"16,00"
1998,8,75,"1,2",1,"6,67",2,0,2,2,0,0,7,0,"13,00"
1998,8,75,"1,2",2,"11,75",7,0,7,7,0,1,7,0,"14,00"
1998,8,75,"1,2",3,,3,0,3,3,0,0,8,1,"23,00"
1998,8,76,"1,2",1,"6,67",1,0,1,1,0,1,8,1,"18,00"
1998,8,77,"1,2",1,"6,75",1,0,1,1,0,1,6,0,"11,00"
1998,8,79,"1,2",1,"6,58",1,0,1,1,0,1,1,0,"11,00"
1998,8,80,"1,2",1,"6,42",0,0,0,0,0,2,8,1,"13,00"
1998,8,81,"1,2",1,"6,5",9,0,9,9,0,1,8,1,"14,00"
1998,8,83,"1,2",3,"18,33",0,0,0,0,0,3,0,0,"13,00"
1998,8,83,"1,2",1,7,0,1,1,1,"0,5",2,1,0,"13,00"
1998,8,83,"1,2",2,"12,58",1,0,1,1,0,3,6,0,"13,00"
1998,8,84,"1,2",1,"6,42",0,0,0,0,0,2,3,0,"11,00"
1998,8,85,"1,2",1,,0,0,0,0,0,0,7,0,"9,00"
1999,6,3,"1,2",1,"6,5",2,0,2,2,0,0,0,0,"25,00"
1999,6,3,"1,2",2,"14,58",3,1,4,4,"0,2",0,0,0,"20,00"
1999,6,3,"1,2",3,"18,25",6,0,6,6,0,0,2,0,"12,00"
1999,6,4,"1,2",2,"11,83",0,0,0,0,0,0,6,0,"14,00"
1999,6,4,"1,2",1,"6,33",4,0,4,4,0,0,8,1,"12,00"
1999,6,4,"1,2",3,"18,17",0,0,0,0,0,0,8,1,"15,00"
1999,6,5,"1,2",1,"7,08",3,1,4,4,"0,2",0,7,0,"14,00"
1999,6,6,"1,2",1,"6,25",5,0,5,5,0,0,0,0,"14,00"
1999,6,8,"1,2",1,"7,5",2,0,2,2,0,0,0,0,"14,00"
1999,6,9,"1,2",1,"7,17",3,0,3,3,0,3,8,1,"12,00"
1999,6,10,"1,2",1,"6,33",1,0,1,1,0,0,0,0,"10,00"
1999,6,10,"1,2",2,"13,25",3,1,4,4,"0,2",0,0,0,"15,00"
1999,6,11,"1,2",1,"6,25",3,0,3,3,0,0,0,0,"18,00"
1999,6,11,"1,2",2,"13,25",2,1,3,3,"0,25",0,1,0,"16,00"
1999,6,11,"1,2",3,"18,75",3,0,3,3,0,0,1,0,"18,00"
1999,6,13,"1,2",1,"6,42",2,0,2,2,0,0,8,1,"14,00"
1999,6,14,"1,2",1,"7,83",2,0,2,2,0,0,7,0,"16,00"
1999,6,16,"1,2",1,"6,67",7,2,9,9,"0,2",3,8,1,"13,00"
1999,6,17,"1,2",3,19,6,0,6,6,0,0,1,0,"22,00"
1999,6,17,"1,2",2,"13,42",0,0,0,0,0,0,3,0,"19,00"
1999,6,17,"1,2",1,"6,83",4,0,4,4,0,0,4,0,"15,00"
1999,6,18,"1,2",1,"7,5",7,0,7,7,0,0,2,0,"15,00"
1999,6,19,"1,2",1,"7,17",6,0,6,6,0,1,5,0,"22,00"
1999,6,20,"1,2",1,"7,42",1,0,1,1,0,1,8,1,"15,00"
1999,6,21,"1,2",1,"8,5",4,1,5,5,166.666.667,2,8,1,"19,00"
1999,6,22,"1,2",1,"7,33",1,0,1,1,0,1,6,0,"22,00"
1999,6,23,"1,2",1,"6,5",3,0,3,3,0,0,7,0,"15,00"
1999,6,24,"1,2",2,"11,33",2,0,2,2,0,2,5,0,"25,00"
1999,6,24,"1,2",3,"18,83",0,0,0,0,0,3,7,0,"27,00"
1999,6,24,"1,2",1,"6,5",2,0,2,2,0,0,8,1,"22,00"
1999,6,26,"1,2",1,"6,5",1,0,1,1,0,1,3,0,"14,00"
1999,6,27,"1,2",1,"18,5",3,0,3,3,0,0,8,1,"14,00"
1999,7,31,"1,2",1,"7,08",5,0,5,5,0,0,6,0,"12,00"
1999,7,32,"1,2",3,"18,08",7,0,7,7,0,0,1,0,"24,00"
1999,7,32,"1,2",1,"7,5",5,0,5,5,0,0,2,0,"12,00"
1999,7,32,"1,2",2,"11,92",7,0,7,7,0,1,6,0,"24,00"
1999,7,34,"1,2",1,"7,83",3,0,3,3,0,0,1,0,"14,00"
1999,7,35,"1,2",1,"8,08",3,0,3,3,0,1,3,0,"27,00"
1999,7,37,"1,2",1,"6,5",2,0,2,2,0,1,1,0,"22,00"
1999,7,37,"1,2",2,"10,67",5,1,6,6,142.857.143,2,1,0,"24,00"
1999,7,38,"1,2",2,"13,75",11,0,11,11,0,2,1,0,"15,00"
1999,7,38,"1,2",3,"18,75",9,1,10,10,90.909.091,1,1,0,"18,00"
1999,7,38,"1,2",1,"6,5",5,0,5,5,0,1,3,0,"26,00"
1999,7,39,"1,2",1,"9,17",9,1,10,10,90.909.091,1,0,0,"22,00"
1999,7,40,"1,2",1,"6,5",4,0,4,4,0,0,0,0,"20,00"
1999,7,43,"1,2",1,"7,25",6,1,7,7,125,0,6,0,"15,00"
1999,7,44,"1,2",1,"6,5",4,0,4,4,0,0,7,0,"25,00"
1999,7,45,"1,2",1,"8,25",7,0,7,7,0,0,6,0,"15,00"
1999,7,46,"1,2",3,"19,5",7,0,7,7,0,1,1,0,"17,00"
1999,7,46,"1,2",2,"11,92",5,1,6,6,142.857.143,2,2,0,"17,00"
1999,7,46,"1,2",1,"6,42",4,0,4,4,0,0,3,0,"17,00"
1999,7,47,"1,2",1,"6,5",6,0,6,6,0,0,1,0,"14,00"
1999,7,49,"1,2",1,"7,25",4,1,5,5,166.666.667,2,1,0,"15,00"
1999,8,66,"1,2",1,9,5,0,5,5,0,0,0,0,"25,00"
1999,8,66,"1,2",2,12,5,1,6,6,142.857.143,0,0,0,"20,00"
1999,8,66,"1,2",3,18,5,1,6,6,142.857.143,0,0,0,"12,00"
1999,8,67,"1,2",1,7,8,0,8,8,0,0,0,0,"12,00"
1999,8,68,"1,2",1,7,6,1,7,7,125,0,0,0,"14,00"
1999,8,69,"1,2",1,7,4,0,4,4,0,0,0,0,"15,00"
1999,8,70,"1,2",1,7,9,1,10,10,90.909.091,0,0,0,"14,00"
1999,8,71,"1,2",1,"8,25",6,0,6,6,0,0,1,0,"14,00"
1999,8,73,"1,2",2,"13,25",7,0,7,7,0,1,1,0,"12,00"
1999,8,73,"1,2",1,"6,5",4,1,5,5,166.666.667,1,2,0,"14,00"
1999,8,73,"1,2",3,"18,25",5,0,5,5,0,1,2,0,"10,00"
1999,8,75,"1,2",1,"6,5",11,0,11,11,0,1,0,0,"15,00"
1999,8,76,"1,2",3,"19,5",36,1,37,37,26.315.789,1,1,0,"18,00"
1999,8,76,"1,2",2,"12,33",11,0,11,11,0,0,2,0,"16,00"
1999,8,76,"1,2",1,"6,42",2,0,2,2,0,1,7,0,"18,00"
1999,8,77,"1,2",1,"6,75",12,0,12,12,0,1,6,0,"14,00"
1999,8,78,"1,2",1,"6,92",3,0,3,3,0,1,5,0,"16,00"
1999,8,79,"1,2",1,"6,5",16,0,16,16,0,0,0,0,"13,00"
1999,8,80,"1,2",1,"6,5",2,0,2,2,0,0,1,0,"15,00"
1999,8,80,"1,2",2,"11,58",15,0,15,15,0,0,1,0,"19,00"
1999,8,80,"1,2",3,"18,58",4,0,4,4,0,0,5,0,"22,00"
1999,8,81,"1,2",1,"6,67",12,0,12,12,0,0,0,0,"15,00"
1999,8,82,"1,2",1,"7,1",3,1,4,4,"0,2",0,0,0,"22,00"
2000,6,5,"1,2",1,"6,75",3,0,3,3,0,3,0,0,"25,00"
2000,6,6,"1,2",1,"6,83",2,0,2,2,0,1,6,0,"20,00"
2000,6,7,"1,2",1,"6,58",0,0,0,0,0,1,8,1,"12,00"
2000,6,8,"1,2",1,"6,83",0,0,0,0,0,2,8,1,"12,00"
2000,6,8,"1,2",2,"11,67",0,0,0,0,0,3,8,1,"14,00"
2000,6,12,"1,2",1,"7,5",1,0,1,1,0,1,3,0,"15,00"
2000,6,12,"1,2",3,"18,25",0,0,0,0,0,3,5,0,"14,00"
2000,6,12,"1,2",2,"11,5",0,0,0,0,0,2,6,0,"14,00"
2000,6,13,"1,2",1,"6,58",0,0,0,0,0,3,1,0,"14,00"
2000,6,14,"1,2",1,"6,58",4,0,4,4,0,0,0,0,"12,00"
2000,6,15,"1,2",1,"6,83",3,0,3,3,0,1,4,0,"10,00"
2000,6,19,"1,2",3,"19,25",1,0,1,1,0,2,1,0,"16,00"
2000,6,19,"1,2",2,"10,42",1,0,1,1,0,1,3,0,"18,00"
2000,6,19,"1,2",1,"6,75",0,0,0,0,0,1,6,0,"15,00"
2000,6,20,"1,2",1,"6,75",2,0,2,2,0,2,4,0,"18,00"
2000,6,21,"1,2",1,7,2,0,2,2,0,0,7,0,"14,00"
2000,6,23,"1,2",1,7,0,0,0,0,0,2,1,0,"16,00"
2000,6,24,"1,2",1,7,0,0,0,0,0,0,8,1,"13,00"
2000,6,25,"1,2",1,"6,75",1,0,1,1,0,1,7,0,"15,00"
2000,6,26,"1,2",1,"6,5",0,0,0,0,0,0,4,0,"19,00"
2000,6,26,"1,2",2,"12,5",2,0,2,2,0,1,5,0,"22,00"
2000,7,32,"1,2",1,"6,92",0,0,0,0,0,1,7,0,"15,00"
2000,7,33,"1,2",2,"14,58",2,1,3,3,"0,25",2,5,0,"15,00"
2000,7,33,"1,2",1,"6,67",0,1,1,1,"0,5",2,7,0,"22,00"
2000,7,33,"1,2",3,18,2,0,2,2,0,1,7,0,"19,00"
2000,7,34,"1,2",1,7,1,0,1,1,0,2,8,1,"22,00"
2000,7,36,"1,2",1,"6,5",1,0,1,1,0,3,4,0,"15,00"
2000,7,37,"1,2",1,"6,75",4,0,4,4,0,1,1,0,"22,00"
2000,7,40,"1,2",1,"6,58",1,0,1,1,0,2,0,0,"25,00"
2000,7,41,"1,2",1,"7,25",7,0,7,7,0,1,8,1,"27,00"
2000,7,42,"1,2",2,"13,5",1,1,2,2,333.333.333,1,2,0,"14,00"
2000,7,42,"1,2",1,"6,83",0,0,0,0,0,0,7,0,"14,00"
2000,7,42,"1,2",3,,5,0,5,5,0,0,7,0,"12,00"
2000,7,46,"1,2",1,"7,67",1,0,1,1,0,2,6,0,"12,00"
2000,7,47,"1,2",1,"6,67",0,0,0,0,0,0,1,0,"24,00"
2000,7,47,"1,2",2,,0,0,0,0,0,1,7,0,"24,00"
2000,8,63,"1,2",1,"7,33",0,1,1,1,"0,5",2,8,1,"14,00"
2000,8,63,"1,2",2,12,0,0,0,0,0,2,8,1,"27,00"
2000,8,64,"1,2",1,"6,67",4,0,4,4,0,0,8,1,"22,00"
2000,8,64,"1,2",2,,8,0,8,8,0,1,8,1,"24,00"
2000,8,65,"1,2",1,"6,83",2,0,2,2,0,2,8,1,"26,00"
2000,8,67,"1,2",1,"6,67",2,0,2,2,0,2,6,0,"15,00"
2000,8,68,"1,2",1,"6,5",2,0,2,2,0,2,2,0,"18,00"
2000,8,68,"1,2",3,"18,33",0,0,0,0,0,3,3,0,"20,00"
2000,8,68,"1,2",2,"11,67",2,0,2,2,0,3,5,0,"22,00"
2000,8,69,"1,2",1,"6,67",2,0,2,2,0,0,8,1,"15,00"
2000,8,70,"1,2",1,"6,67",0,0,0,0,0,0,0,0,"25,00"
2000,8,71,"1,2",1,"6,5",2,0,2,2,0,0,8,1,"15,00"
2000,8,72,"1,2",1,"6,5",2,0,2,2,0,0,8,1,"17,00"
2000,8,73,"1,2",1,"6,67",4,0,4,4,0,2,1,0,"17,00"
2000,8,74,"1,2",1,7,2,0,2,2,0,1,5,0,"17,00"
2000,8,75,"1,2",1,"6,67",2,0,2,2,0,0,7,0,"14,00"
2000,8,75,"1,2",2,"11,75",7,0,7,7,0,1,7,0,"15,00"
2000,8,75,"1,2",3,,3,0,3,3,0,0,8,1,"25,00"
2000,8,76,"1,2",1,"6,67",1,0,1,1,0,1,8,1,"20,00"
2000,8,77,"1,2",1,"6,75",1,0,1,1,0,1,6,0,"12,00"
2000,8,79,"1,2",1,"6,58",1,0,1,1,0,1,1,0,"12,00"
2000,8,80,"1,2",1,"6,42",0,0,0,0,0,2,8,1,"14,00"
2000,8,81,"1,2",1,"6,5",9,0,9,9,0,1,8,1,"15,00"
2000,8,83,"1,2",3,"18,33",0,0,0,0,0,3,0,0,"14,00"
2000,8,83,"1,2",1,7,0,0,0,0,0,2,1,0,"14,00"
2000,8,83,"1,2",2,"12,58",1,0,1,1,0,3,6,0,"14,00"
2000,8,84,"1,2",1,"6,42",0,0,0,0,0,2,3,0,"12,00"
2000,8,85,"1,2",1,,0,0,0,0,0,0,7,0,"10,00"
2001,5,-10,"1,2",1,"13,75",2,0,2,2,0,1,7,0,"25,00"
2001,5,-9,"1,2",1,"9,5",4,0,4,4,0,1,0,0,"20,00"
2001,5,-8,"1,2",1,7,0,0,0,0,0,3,8,1,"12,00"
2001,5,-8,"1,2",2,"9,5",1,0,1,1,0,4,8,1,"12,00"
2001,6,7,"1,2",1,"7,25",0,0,0,0,0,0,8,1,"14,00"
2001,6,8,"1,2",1,"7,5",0,0,0,0,0,0,8,1,"15,00"
2001,6,9,"1,2",1,"7,25",0,0,0,0,0,0,8,1,"14,00"
2001,6,10,"1,2",1,16,3,0,3,3,0,1,8,1,"14,00"
2001,6,10,"1,2",2,12,0,0,0,0,0,3,8,1,"14,00"
2001,6,12,"1,2",1,"7,5",2,0,2,2,0,5,4,0,"12,00"
2001,6,14,"1,2",2,"15,5",3,0,3,3,0,1,7,0,"15,00"
2001,6,14,"1,2",1,"7,25",6,0,6,6,0,3,8,1,"10,00"
2001,6,15,"1,2",1,"15,75",4,0,4,4,0,3,0,0,"18,00"
2001,6,16,"1,2",1,"10,75",2,0,2,2,0,2,0,0,"16,00"
2001,6,16,"1,2",2,"11,75",8,0,8,8,0,3,0,0,"18,00"
2001,6,17,"1,2",1,"7,5",4,0,4,4,0,2,8,1,"14,00"
2001,6,17,"1,2",2,"12,85",5,0,5,5,0,3,8,1,"16,00"
2001,6,21,"1,2",1,7,3,0,3,3,0,0,0,0,"13,00"
2001,6,21,"1,2",2,"9,5",4,0,4,4,0,0,1,0,"15,00"
2001,6,24,"1,2",1,12,5,0,5,5,0,0,6,0,"19,00"
2001,6,25,"1,2",1,16,4,0,4,4,0,1,7,0,"22,00"
2001,6,26,"1,2",2,"15,25",3,0,3,3,0,3,1,0,"22,00"
2001,6,26,"1,2",1,"7,5",2,0,2,2,0,4,4,0,"15,00"
2001,6,27,"1,2",3,"15,25",4,0,4,4,0,2,1,0,"22,00"
2001,6,27,"1,2",2,"12,25",2,0,2,2,0,2,4,0,"19,00"
2001,6,27,"1,2",1,"7,25",2,0,2,2,0,1,8,1,"15,00"
2001,6,28,"1,2",2,"11,75",8,0,8,8,0,1,0,0,"22,00"
2001,6,28,"1,2",3,16,5,0,5,5,0,3,2,0,"25,00"
2001,6,28,"1,2",1,"6,75",3,0,3,3,0,0,8,1,"15,00"
2001,6,29,"1,2",1,12,3,0,3,3,0,2,3,0,"27,00"
2001,6,29,"1,2",2,20,1,0,1,1,0,2,7,0,"14,00"
2001,6,29,"1,2",1,"20,5",1,0,1,1,0,2,7,0,"14,00"
2001,6,30,"1,2",1,"7,5",0,0,0,0,0,3,8,1,"12,00"
2001,6,30,"1,2",2,"15,25",0,0,0,0,0,5,8,1,"12,00"
2001,6,31,"1,2",1,21,4,0,4,4,0,0,0,0,"24,00"
2001,6,31,"1,2",2,"21,25",5,0,5,5,0,0,0,0,"24,00"
2001,6,32,"1,2",2,"14,25",5,0,5,5,0,3,7,0,"27,00"
2001,6,32,"1,2",1,7,0,0,0,0,0,2,8,1,"14,00"
2001,6,33,"1,2",2,"10,25",5,0,5,5,0,1,0,0,"24,00"
2001,6,33,"1,2",3,"11,5",3,0,3,3,0,0,1,0,"26,00"
2001,6,33,"1,2",1,"7,25",4,0,4,4,0,0,8,1,"22,00"
2001,6,34,"1,2",3,"11,5",4,0,4,4,0,2,4,0,"22,00"
2001,6,34,"1,2",4,"21,25",5,0,5,5,0,0,5,0,"20,00"
2001,6,34,"1,2",1,"7,25",0,0,0,0,0,1,8,1,"15,00"
2001,6,34,"1,2",2,"10,25",2,0,2,2,0,2,8,1,"18,00"
2001,6,35,"1,2",2,"14,25",4,0,4,4,0,2,7,0,"25,00"
2001,6,35,"1,2",1,"7,25",1,0,1,1,0,1,8,1,"15,00"
2001,6,36,"1,2",4,"13,25",0,0,0,0,0,3,4,0,"17,00"
2001,6,36,"1,2",3,"12,5",1,0,1,1,0,3,5,0,"17,00"
2001,6,36,"1,2",1,"7,25",2,0,2,2,0,3,7,0,"15,00"
2001,6,36,"1,2",2,10,1,0,1,1,0,4,7,0,"17,00"
2001,6,37,"1,2",1,"7,25",0,0,0,0,0,3,3,0,"14,00"
2001,6,37,"1,2",2,9,1,0,1,1,0,3,3,0,"15,00"
2002,5,-10,"1,2",1,"16,5",2,0,2,2,0,3,1,0,"17,00"
2002,5,-9,"1,2",1,"8,75",0,0,0,0,0,5,8,1,"14,00"
2002,5,-9,"1,2",2,12,0,0,0,0,0,5,8,1,"15,00"
2002,5,-8,"1,2",1,"7,5",0,0,0,0,0,3,1,0,"14,00"
2002,5,-7,"1,2",1,"7,5",0,0,0,0,0,5,7,0,"10,00"
