name;id;nametype;recclass;mass;fall;year;reclat;reclong;geometry/type;geometry/coordinates/0;geometry/coordinates/1;:@computed_region_cbhk_fwbd;:@computed_region_nnqa_25f4
Changde;5322;Valid;H5;1810;Fell;1977-01-01T00:00:00.000;29.083330;111.750000;Point;111.75;29.08333;;
Nagai;16890;Valid;L6;1810;Fell;1922-01-01T00:00:00.000;38.121670;140.061670;Point;140.06167;38.12167;;
Akbarpur;427;Valid;H4;1800;Fell;1838-01-01T00:00:00.000;29.716670;77.950000;Point;77.95;29.71667;;
Dharwar;6699;Valid;OC;1800;Fell;1848-01-01T00:00:00.000;14.883330;75.600000;Point;75.6;14.88333;;
Petersburg;18801;Valid;Eucrite-pmict;1800;Fell;1855-01-01T00:00:00.000;35.300000;-86.633330;Point;-86.63333;35.3;39;2017
Richmond;22603;Valid;LL5;1800;Fell;1828-01-01T00:00:00.000;37.466670;-77.500000;Point;-77.5;37.46667;40;2764
Serra de Magé;23502;Valid;Eucrite-cm;1800;Fell;1923-01-01T00:00:00.000;-8.383330;-36.766670;Point;-36.76667;-8.38333;;
Gnadenfrei;10936;Valid;H5;1750;Fell;1879-01-01T00:00:00.000;50.666670;16.766670;Point;16.76667;50.66667;;
Silao;23594;Valid;H5;1710;Fell;1995-01-01T00:00:00.000;20.933330;-101.383330;Point;-101.38333;20.93333;;
Slavetic;23626;Valid;H5;1708;Fell;1868-01-01T00:00:00.000;45.683330;15.600000;Point;15.6;45.68333;;
Chervony Kut;5342;Valid;Eucrite-mmict;1700;Fell;1939-01-01T00:00:00.000;50.833330;34.000000;Point;34;50.83333;;
Manbhoom;15402;Valid;LL6;1700;Fell;1863-01-01T00:00:00.000;23.050000;86.700000;Point;86.7;23.05;;
Borgo San Donino;5110;Valid;LL6;1676;Fell;1808-01-01T00:00:00.000;44.866670;10.050000;Point;10.05;44.86667;;
Rockhampton;22640;Valid;Stone-uncl;1641;Fell;1895-01-01T00:00:00.000;-23.383330;150.516670;Point;150.51667;-23.38333;;
Kangean;12245;Valid;H5;1630;Fell;1908-01-01T00:00:00.000;-7.000000;115.500000;Point;115.5;-7;;
Aguada;398;Valid;L6;1620;Fell;1930-01-01T00:00:00.000;-31.600000;-65.233330;Point;-65.23333;-31.6;;
Cilimus;5364;Valid;L5;1600;Fell;1979-01-01T00:00:00.000;-6.950000;108.100000;Point;108.1;-6.95;;
Dolgovoli;7659;Valid;L6;1600;Fell;1864-01-01T00:00:00.000;50.750000;25.300000;Point;25.3;50.75;;
Gopalpur;10948;Valid;H6;1600;Fell;1865-01-01T00:00:00.000;24.233330;89.050000;Point;89.05;24.23333;;
Huaxi;54719;Valid;H5;1600;Fell;2010-01-01T00:00:00.000;26.464690;106.632410;Point;106.63241;26.46469;;
Kaprada;47357;Valid;L5/6;1600;Fell;2004-01-01T00:00:00.000;20.339160;73.223290;Point;73.22329;20.33916;;
Mässing;15443;Valid;Howardite;1600;Fell;1803-01-01T00:00:00.000;48.133330;12.616670;Point;12.61667;48.13333;;
Middlesbrough;16632;Valid;L6;1600;Fell;1881-01-01T00:00:00.000;54.566670;-1.166670;Point;-1.16667;54.56667;;
Sitathali;23616;Valid;H5;1600;Fell;1875-01-01T00:00:00.000;20.916670;82.583330;Point;82.58333;20.91667;;
Selakopi;23481;Valid;H5;1590;Fell;1939-01-01T00:00:00.000;-7.233330;107.333330;Point;107.33333;-7.23333;;
Bawku;4976;Valid;LL5;1557;Fell;1989-01-01T00:00:00.000;11.083330;-0.183330;Point;-0.18333;11.08333;;
Kisvarsány;12325;Valid;L6;1550;Fell;1914-01-01T00:00:00.000;48.166670;22.308330;Point;22.30833;48.16667;;
Haverö;11859;Valid;Ureilite;1544;Fell;1971-01-01T00:00:00.000;60.245560;22.061940;Point;22.06194;60.24556;;
Burnwell;5175;Valid;H4-an;1504;Fell;1990-01-01T00:00:00.000;37.621940;-82.237220;Point;-82.23722;37.62194;36;256
Angra dos Reis (stone);2302;Valid;Angrite;1500;Fell;1869-01-01T00:00:00.000;-22.966670;-44.316670;Point;-44.31667;-22.96667;;
Breitscheid;5134;Valid;H5;1500;Fell;1956-01-01T00:00:00.000;50.666940;8.183610;Point;8.18361;50.66694;;
Bustee;5181;Valid;Aubrite;1500;Fell;1852-01-01T00:00:00.000;26.783330;82.833330;Point;82.83333;26.78333;;
Esnandes;10051;Valid;L6;1500;Fell;1837-01-01T00:00:00.000;46.250000;-1.100000;Point;-1.1;46.25;;
Favars;10078;Valid;H5;1500;Fell;1844-01-01T00:00:00.000;44.383330;2.816670;Point;2.81667;44.38333;;
Katagum;35465;Valid;L6;1500;Fell;1999-01-01T00:00:00.000;11.333330;10.083330;Point;10.08333;11.33333;;
Kharkov;12291;Valid;L6;1500;Fell;1787-01-01T00:00:00.000;50.625000;35.075000;Point;35.075;50.625;;
Kiffa;12303;Valid;H5;1500;Fell;1970-01-01T00:00:00.000;16.583330;-11.333330;Point;-11.33333;16.58333;;
Macau;15370;Valid;H5;1500;Fell;1836-01-01T00:00:00.000;-5.200000;-36.666670;Point;-36.66667;-5.2;;
Moti-ka-nagla;16759;Valid;H6;1500;Fell;1868-01-01T00:00:00.000;26.833330;77.333330;Point;77.33333;26.83333;;
Stavropol;23717;Valid;L6;1500;Fell;1857-01-01T00:00:00.000;45.050000;41.983330;Point;41.98333;45.05;;
Ellemeet;10019;Valid;Diogenite;1470;Fell;1925-01-01T00:00:00.000;51.750000;4.000000;Point;4;51.75;;
Cranganore;5465;Valid;L6;1460;Fell;1917-01-01T00:00:00.000;10.200000;76.266670;Point;76.26667;10.2;;
Hallingeberg;11479;Valid;L3.4;1456;Fell;1944-01-01T00:00:00.000;57.816670;16.233330;Point;16.23333;57.81667;;
Claxton;5374;Valid;L6;1455;Fell;1984-01-01T00:00:00.000;32.102500;-81.872780;Point;-81.87278;32.1025;31;67
Sinai;23606;Valid;L6;1455;Fell;1916-01-01T00:00:00.000;30.900000;32.483330;Point;32.48333;30.9;;
Maryville;15436;Valid;L6;1443;Fell;1983-01-01T00:00:00.000;35.800000;-84.100000;Point;-84.1;35.8;39;2740
Aguila Blanca;417;Valid;L;1440;Fell;1920-01-01T00:00:00.000;-30.866670;-64.550000;Point;-64.55;-30.86667;;
Berlanguillas;5029;Valid;L6;1440;Fell;1811-01-01T00:00:00.000;41.683330;-3.800000;Point;-3.8;41.68333;;
Palca de Aparzo;18074;Valid;L5;1430;Fell;1988-01-01T00:00:00.000;-23.116670;-65.100000;Point;-65.1;-23.11667;;
Talampaya;23791;Valid;Eucrite-cm;1421;Fell;1995-01-01T00:00:00.000;;;;;;;
Holetta;11895;Valid;Stone-uncl;1415;Fell;1923-01-01T00:00:00.000;9.066670;38.416670;Point;38.41667;9.06667;;
Canon City;5253;Valid;H6;1400;Fell;1973-01-01T00:00:00.000;38.470280;-105.241390;Point;-105.24139;38.47028;9;1448
Oesede;17988;Valid;H5;1400;Fell;1927-01-01T00:00:00.000;52.283330;8.050000;Point;8.05;52.28333;;
Ngawi;16966;Valid;LL3.6;1393;Fell;1883-01-01T00:00:00.000;-7.450000;111.416670;Point;111.41667;-7.45;;
Caswell County;5296;Valid;OC;1360;Fell;1810-01-01T00:00:00.000;36.500000;-79.250000;Point;-79.25;36.5;37;637
Boriskino;5112;Valid;CM2;1342;Fell;1930-01-01T00:00:00.000;54.233330;52.483330;Point;52.48333;54.23333;;
Gyokukei;11467;Valid;OC;1320;Fell;1930-01-01T00:00:00.000;35.000000;127.500000;Point;127.5;35;;
Rio Negro;22611;Valid;L4;1310;Fell;1934-01-01T00:00:00.000;-26.100000;-49.800000;Point;-49.8;-26.1;;
Glanggang;10924;Valid;H5-6;1303;Fell;1939-01-01T00:00:00.000;-7.250000;107.700000;Point;107.7;-7.25;;
Ashdon;2346;Valid;L6;1300;Fell;1923-01-01T00:00:00.000;52.050000;0.300000;Point;0.3;52.05;;
Ishinga;12049;Valid;H;1300;Fell;1954-01-01T00:00:00.000;-8.933330;33.800000;Point;33.8;-8.93333;;
Louisville;14716;Valid;L6;1300;Fell;1977-01-01T00:00:00.000;38.250000;-85.750000;Point;-85.75;38.25;36;1327
Mezel;16627;Valid;L6;1300;Fell;1949-01-01T00:00:00.000;45.766670;3.250000;Point;3.25;45.76667;;
Mornans;16747;Valid;H5;1300;Fell;1875-01-01T00:00:00.000;44.600000;5.133330;Point;5.13333;44.6;;
Kamsagar;12241;Valid;L6;1293;Fell;1902-01-01T00:00:00.000;14.183330;75.800000;Point;75.8;14.18333;;
Lanxi;12464;Valid;L6;1282;Fell;1986-01-01T00:00:00.000;46.241670;126.196110;Point;126.19611;46.24167;;
Atarra;4883;Valid;L4;1280;Fell;1920-01-01T00:00:00.000;25.254170;80.625000;Point;80.625;25.25417;;
Qidong;18907;Valid;L/LL5;1275;Fell;1982-01-01T00:00:00.000;32.083330;121.500000;Point;121.5;32.08333;;
Sharps;23525;Valid;H3.4;1265;Fell;1921-01-01T00:00:00.000;37.833330;-76.700000;Point;-76.7;37.83333;40;921
Dosso;7722;Valid;L6;1250;Fell;1962-01-01T00:00:00.000;13.050000;3.166670;Point;3.16667;13.05;;
Hassi-Jekna;11852;Valid;Iron, IAB-sHL;1250;Fell;1890-01-01T00:00:00.000;28.950000;0.816670;Point;0.81667;28.95;;
Sabetmahet;22792;Valid;H5;1250;Fell;1855-01-01T00:00:00.000;27.433330;82.083330;Point;82.08333;27.43333;;
Muzaffarpur;16885;Valid;Iron, IAB-sHL;1245;Fell;1964-01-01T00:00:00.000;26.133330;85.533330;Point;85.53333;26.13333;;
Avce;4906;Valid;Iron, IIAB;1230;Fell;1908-01-01T00:00:00.000;46.000000;13.500000;Point;13.5;46;;
Simmern;23603;Valid;H5;1222;Fell;1920-01-01T00:00:00.000;49.983330;7.533330;Point;7.53333;49.98333;;
Cosina;5451;Valid;H5;1200;Fell;1844-01-01T00:00:00.000;21.166670;-100.866670;Point;-100.86667;21.16667;;
Iguaracu;12003;Valid;H5;1200;Fell;1977-01-01T00:00:00.000;-23.200000;-51.833330;Point;-51.83333;-23.2;;
Douar Mghila;7723;Valid;LL6;1161;Fell;1932-01-01T00:00:00.000;32.333330;-6.300000;Point;-6.3;32.33333;;
Pirthalla;18835;Valid;H6;1161;Fell;1884-01-01T00:00:00.000;29.583330;76.000000;Point;76;29.58333;;
Devri-Khera;6696;Valid;L6;1140;Fell;1994-01-01T00:00:00.000;24.225000;76.525000;Point;76.525;24.225;;
Beyrout;5035;Valid;LL3.8;1100;Fell;1921-01-01T00:00:00.000;33.883330;35.500000;Point;35.5;33.88333;;
Chandpur;5321;Valid;L6;1100;Fell;1885-01-01T00:00:00.000;27.283330;79.050000;Point;79.05;27.28333;;
Mianchi;16631;Valid;H5;1100;Fell;1980-01-01T00:00:00.000;34.800000;111.700000;Point;111.7;34.8;;
Mtola;16820;Valid;Stone-uncl;1100;Fell;1944-01-01T00:00:00.000;-11.500000;33.500000;Point;33.5;-11.5;;
Nyirábrany;17970;Valid;LL5;1100;Fell;1914-01-01T00:00:00.000;47.550000;22.025000;Point;22.025;47.55;;
Sołtmany;53829;Valid;L6;1066;Fell;2011-01-01T00:00:00.000;54.008830;22.005000;Point;22.005;54.00883;;
Daniel's Kuil;5513;Valid;EL6;1064;Fell;1868-01-01T00:00:00.000;-28.200000;24.566670;Point;24.56667;-28.2;;
Launton;12740;Valid;L6;1060;Fell;1830-01-01T00:00:00.000;51.900000;-1.116670;Point;-1.11667;51.9;;
Norfork;16994;Valid;Iron, IIIAB;1050;Fell;1918-01-01T00:00:00.000;36.216670;-92.266670;Point;-92.26667;36.21667;15;10
Bhola;5040;Valid;LL3-6;1047;Fell;1940-01-01T00:00:00.000;22.683330;90.650000;Point;90.65;22.68333;;
Minamino;16692;Valid;L;1040;Fell;1632-01-01T00:00:00.000;35.078330;136.933330;Point;136.93333;35.07833;;
Bishunpur;5060;Valid;LL3.15;1039;Fell;1895-01-01T00:00:00.000;25.383330;82.600000;Point;82.6;25.38333;;
Ceniceros;5306;Valid;L3.7;1025;Fell;1988-01-01T00:00:00.000;26.466670;-105.233330;Point;-105.23333;26.46667;;
Novy-Projekt;17935;Valid;OC;1001;Fell;1908-01-01T00:00:00.000;56.000000;22.000000;Point;22;56;;
Aioun el Atrouss;423;Valid;Diogenite-pm;1000;Fell;1974-01-01T00:00:00.000;16.398060;-9.570280;Point;-9.57028;16.39806;;
Bali;4928;Valid;CV3;1000;Fell;1907-01-01T00:00:00.000;5.383330;16.383330;Point;16.38333;5.38333;;
Diep River;7642;Valid;L6;1000;Fell;1906-01-01T00:00:00.000;-33.750000;18.566670;Point;18.56667;-33.75;;
Grüneberg;11426;Valid;H4;1000;Fell;1841-01-01T00:00:00.000;51.933330;15.500000;Point;15.5;51.93333;;
Gütersloh;11466;Valid;H3/4;1000;Fell;1851-01-01T00:00:00.000;51.916670;8.383330;Point;8.38333;51.91667;;
Haraiya;11824;Valid;Eucrite-mmict;1000;Fell;1878-01-01T00:00:00.000;26.800000;82.533330;Point;82.53333;26.8;;
Heredia;11875;Valid;H5;1000;Fell;1857-01-01T00:00:00.000;10.000000;-84.100000;Point;-84.1;10;;
Lodran;14675;Valid;Lodranite;1000;Fell;1868-01-01T00:00:00.000;29.533330;71.800000;Point;71.8;29.53333;;
Madhipura;15379;Valid;L;1000;Fell;1950-01-01T00:00:00.000;25.916670;86.366670;Point;86.36667;25.91667;;
Mamra Springs;15401;Valid;L6;1000;Fell;1927-01-01T00:00:00.000;45.216670;62.083330;Point;62.08333;45.21667;;
Mascombes;15438;Valid;L6;1000;Fell;1836-01-01T00:00:00.000;45.366670;1.866670;Point;1.86667;45.36667;;
Renazzo;22586;Valid;CR2;1000;Fell;1824-01-01T00:00:00.000;44.766670;11.283330;Point;11.28333;44.76667;;
St. Louis;23089;Valid;H4;1000;Fell;1950-01-01T00:00:00.000;38.700000;-90.233330;Point;-90.23333;38.7;18;2223
Tahara;23784;Valid;H4/5;1000;Fell;1991-01-01T00:00:00.000;34.720000;137.305000;Point;137.305;34.72;;
Jajh deh Kot Lalu;12067;Valid;EL6;973;Fell;1926-01-01T00:00:00.000;26.750000;68.416670;Point;68.41667;26.75;;
Guidder;11443;Valid;LL5;968;Fell;1949-01-01T00:00:00.000;9.916670;13.983330;Point;13.98333;9.91667;;
Berthoud;47355;Valid;Eucrite-mmict;960;Fell;2004-01-01T00:00:00.000;40.305830;-105.023250;Point;-105.02325;40.30583;9;1072
Sopot;23670;Valid;OC;958;Fell;1927-01-01T00:00:00.000;44.416670;23.500000;Point;23.5;44.41667;;
Junan;12210;Valid;L6;950;Fell;1976-01-01T00:00:00.000;35.200000;118.800000;Point;118.8;35.2;;
Kalaba;12232;Valid;H4;950;Fell;1951-01-01T00:00:00.000;-6.833330;29.500000;Point;29.5;-6.83333;;
Cañellas;5251;Valid;H4;945;Fell;1861-01-01T00:00:00.000;41.250000;1.666670;Point;1.66667;41.25;;
São Jose do Rio Preto;23171;Valid;H4;927;Fell;1962-01-01T00:00:00.000;-20.810000;-49.380560;Point;-49.38056;-20.81;;
Adzhi-Bogdo (stone);390;Valid;LL3-6;910;Fell;1949-01-01T00:00:00.000;44.833330;95.166670;Point;95.16667;44.83333;;
Ratyn;22398;Valid;Stone-uncl;910;Fell;1880-01-01T00:00:00.000;52.200000;17.983330;Point;17.98333;52.2;;
Alessandria;463;Valid;H5;908;Fell;1860-01-01T00:00:00.000;44.883330;8.750000;Point;8.75;44.88333;;
Tané;23801;Valid;L5;905;Fell;1918-01-01T00:00:00.000;35.433330;136.233330;Point;136.23333;35.43333;;
Lahrauli;12433;Valid;Ureilite;900;Fell;1955-01-01T00:00:00.000;26.783330;82.716670;Point;82.71667;26.78333;;
Pricetown;18888;Valid;L6;900;Fell;1893-01-01T00:00:00.000;39.116670;-83.850000;Point;-83.85;39.11667;38;2566
Luotolax;14756;Valid;Howardite;885;Fell;1813-01-01T00:00:00.000;61.200000;27.700000;Point;27.7;61.2;;
Independence;12028;Valid;L6;880;Fell;1917-01-01T00:00:00.000;39.083330;-94.400000;Point;-94.4;39.08333;18;525
Leighton;12760;Valid;H5;877;Fell;1907-01-01T00:00:00.000;34.583330;-87.500000;Point;-87.5;34.58333;29;1585
Meuselbach;16626;Valid;L6;870;Fell;1897-01-01T00:00:00.000;50.583330;11.100000;Point;11.1;50.58333;;
Senboku;23496;Valid;H6;866;Fell;1993-01-01T00:00:00.000;39.438330;140.511670;Point;140.51167;39.43833;;
Ski;23621;Valid;L6;850;Fell;1848-01-01T00:00:00.000;59.733330;10.866670;Point;10.86667;59.73333;;
Pirgunje;18834;Valid;L6;842;Fell;1882-01-01T00:00:00.000;25.800000;88.450000;Point;88.45;25.8;;
Ekh Khera;7777;Valid;H6;840;Fell;1916-01-01T00:00:00.000;28.266670;78.783330;Point;78.78333;28.26667;;
Ottawa;18046;Valid;LL6;840;Fell;1896-01-01T00:00:00.000;38.600000;-95.216670;Point;-95.21667;38.6;17;1947
Arbol Solo;2325;Valid;H5;810;Fell;1954-01-01T00:00:00.000;-33.000000;-66.000000;Point;-66;-33;;
Malvern;15400;Valid;Eucrite-pmict;807;Fell;1933-01-01T00:00:00.000;-29.450000;26.766670;Point;26.76667;-29.45;;
Aubres;4893;Valid;Aubrite;800;Fell;1836-01-01T00:00:00.000;44.383330;5.166670;Point;5.16667;44.38333;;
Lavrentievka;12743;Valid;L6;800;Fell;1938-01-01T00:00:00.000;52.450000;51.566670;Point;51.56667;52.45;;
Parsa;18109;Valid;EH3;800;Fell;1942-01-01T00:00:00.000;26.200000;85.400000;Point;85.4;26.2;;
Beddgelert;4993;Valid;H5;794;Fell;1949-01-01T00:00:00.000;53.016670;-4.100000;Point;-4.1;53.01667;;
Achiras;370;Valid;L6;780;Fell;1902-01-01T00:00:00.000;-33.166670;-64.950000;Point;-64.95;-33.16667;;
Le Teilleul;12749;Valid;Howardite;780;Fell;1845-01-01T00:00:00.000;48.533330;-0.866670;Point;-0.86667;48.53333;;
Akaba;426;Valid;L6;779;Fell;1949-01-01T00:00:00.000;29.516670;35.050000;Point;35.05;29.51667;;
Kilbourn;12308;Valid;H5;772;Fell;1911-01-01T00:00:00.000;43.583330;-89.600000;Point;-89.6;43.58333;41;2971
Glatton;10930;Valid;L6;767;Fell;1991-01-01T00:00:00.000;52.459720;-0.300000;Point;-0.3;52.45972;;
Bradford Woods;5128;Valid;L;762;Fell;1886-01-01T00:00:00.000;40.500000;-80.083330;Point;-80.08333;40.5;48;2455
Capilla del Monte;5264;Valid;H6;750;Fell;1934-01-01T00:00:00.000;-30.883330;-64.550000;Point;-64.55;-30.88333;;
Higashi-koen;11883;Valid;H5;750;Fell;1897-01-01T00:00:00.000;33.600000;130.433330;Point;130.43333;33.6;;
Geidam;10870;Valid;H5;725;Fell;1950-01-01T00:00:00.000;12.916670;11.916670;Point;11.91667;12.91667;;
Aarhus;2;Valid;H6;720;Fell;1951-01-01T00:00:00.000;56.183330;10.233330;Point;10.23333;56.18333;;
Takenouchi;23789;Valid;H5;720;Fell;1880-01-01T00:00:00.000;35.383330;134.900000;Point;134.9;35.38333;;
Kasamatsu;12266;Valid;H;710;Fell;1938-01-01T00:00:00.000;35.366670;136.766670;Point;136.76667;35.36667;;
Black Moshannan Park;5065;Valid;L5;705;Fell;1941-01-01T00:00:00.000;40.916670;-78.083330;Point;-78.08333;40.91667;48;2495
Chervettaz;5341;Valid;L5;705;Fell;1901-01-01T00:00:00.000;46.550000;6.816670;Point;6.81667;46.55;;
Al Zarnkh;447;Valid;LL5;700;Fell;2001-01-01T00:00:00.000;13.660330;28.960000;Point;28.96;13.66033;;
Aldsworth;461;Valid;LL5;700;Fell;1835-01-01T00:00:00.000;51.783330;-1.783330;Point;-1.78333;51.78333;;
Jalanash;12068;Valid;Ureilite;700;Fell;1990-01-01T00:00:00.000;;;;;;;
Leonovka;12765;Valid;L6;700;Fell;1900-01-01T00:00:00.000;52.266670;32.850000;Point;32.85;52.26667;;
St. Denis Westrem;23083;Valid;L6;700;Fell;1855-01-01T00:00:00.000;51.050000;3.750000;Point;3.75;51.05;;
Sasagase;23187;Valid;H;695;Fell;1688-01-01T00:00:00.000;34.716670;137.783330;Point;137.78333;34.71667;;
Semarkona;23487;Valid;LL3.00;691;Fell;1940-01-01T00:00:00.000;22.250000;79.000000;Point;79;22.25;;
Grzempach;11429;Valid;H5;690;Fell;1910-01-01T00:00:00.000;52.866670;16.633330;Point;16.63333;52.86667;;
Palolo Valley;18082;Valid;H5;682;Fell;1949-01-01T00:00:00.000;21.300000;-157.783330;Point;-157.78333;21.3;4;1657
Harrison County;11842;Valid;L6;680;Fell;1859-01-01T00:00:00.000;38.250000;-86.166670;Point;-86.16667;38.25;35;1855
Judesegeri;12207;Valid;H6;680;Fell;1876-01-01T00:00:00.000;12.850000;76.800000;Point;76.8;12.85;;
Bhawad;36591;Valid;LL6;678;Fell;2002-01-01T00:00:00.000;26.508330;73.115280;Point;73.11528;26.50833;;
Glanerbrug;10923;Valid;L/LL5;670;Fell;1990-01-01T00:00:00.000;52.200000;6.866670;Point;6.86667;52.2;;
Rich Mountain;22597;Valid;L6;668;Fell;1903-01-01T00:00:00.000;35.033330;-83.033330;Point;-83.03333;35.03333;37;2388
Po-wang Chen;18879;Valid;LL;665;Fell;1933-01-01T00:00:00.000;31.416670;118.500000;Point;118.5;31.41667;;
Frankfort (stone);10177;Valid;Howardite;650;Fell;1868-01-01T00:00:00.000;34.483330;-87.833330;Point;-87.83333;34.48333;29;99
Dowa;7725;Valid;Stone-uncl;642;Fell;1976-01-01T00:00:00.000;-13.666670;33.916670;Point;33.91667;-13.66667;;
Sungach;23745;Valid;H5;637;Fell;1935-01-01T00:00:00.000;44.866670;133.166670;Point;133.16667;44.86667;;
Morávka;16742;Valid;H5;633;Fell;2000-01-01T00:00:00.000;49.600000;18.533330;Point;18.53333;49.6;;
Sixiangkou;23619;Valid;L5;630;Fell;1989-01-01T00:00:00.000;32.433330;119.866670;Point;119.86667;32.43333;;
Banten;4938;Valid;CM2;629;Fell;1933-01-01T00:00:00.000;-6.333330;106.000000;Point;106;-6.33333;;
Alberta;454;Valid;L;625;Fell;1949-01-01T00:00:00.000;2.000000;22.666670;Point;22.66667;2;;
Botschetschki;5117;Valid;L4;614;Fell;1823-01-01T00:00:00.000;51.333330;33.883330;Point;33.88333;51.33333;;
Baxter;4977;Valid;L6;611;Fell;1916-01-01T00:00:00.000;36.750000;-93.500000;Point;-93.5;36.75;18;2216
Sheyang;23531;Valid;L6;605;Fell;1976-01-01T00:00:00.000;33.650000;120.066670;Point;120.06667;33.65;;
Andreevka;2296;Valid;L3;600;Fell;1969-01-01T00:00:00.000;48.700000;37.500000;Point;37.5;48.7;;
Mafra;15383;Valid;L3-4;600;Fell;1941-01-01T00:00:00.000;-26.166670;-49.933330;Point;-49.93333;-26.16667;;
Tomakovka;24019;Valid;LL6;600;Fell;1905-01-01T00:00:00.000;47.850000;34.766670;Point;34.76667;47.85;;
Duruma;7752;Valid;L6;577;Fell;1853-01-01T00:00:00.000;-4.000000;39.500000;Point;39.5;-4;;
Kakowa;12231;Valid;L6;577;Fell;1858-01-01T00:00:00.000;45.133330;21.666670;Point;21.66667;45.13333;;
Birni N'konni;5056;Valid;H4;560;Fell;1923-01-01T00:00:00.000;13.766670;5.300000;Point;5.3;13.76667;;
Pulsora;18899;Valid;H5;560;Fell;1863-01-01T00:00:00.000;23.366670;75.183330;Point;75.18333;23.36667;;
Minnichhof;16700;Valid;OC;550;Fell;1905-01-01T00:00:00.000;47.700000;16.600000;Point;16.6;47.7;;
Mabwe-Khoywa;14764;Valid;L5;540;Fell;1937-01-01T00:00:00.000;19.000000;97.000000;Point;97;19;;
Nantong;16907;Valid;H6;529;Fell;1984-01-01T00:00:00.000;32.116670;121.800000;Point;121.8;32.11667;;
Paitan;18072;Valid;H6;515;Fell;1910-01-01T00:00:00.000;17.743330;120.455830;Point;120.45583;17.74333;;
Borodino;5114;Valid;H5;500;Fell;1812-01-01T00:00:00.000;55.466670;35.866670;Point;35.86667;55.46667;;
Essebi;10055;Valid;C2-ung;500;Fell;1957-01-01T00:00:00.000;2.883330;30.833330;Point;30.83333;2.88333;;
Montlivault;16729;Valid;L6;500;Fell;1838-01-01T00:00:00.000;47.633330;1.583330;Point;1.58333;47.63333;;
Phu Hong;18809;Valid;H4;500;Fell;1887-01-01T00:00:00.000;11.250000;108.583330;Point;108.58333;11.25;;
Puerto Lápice;45984;Valid;Eucrite-br;500;Fell;2007-01-01T00:00:00.000;39.350000;-3.516670;Point;-3.51667;39.35;;
Lishui;14659;Valid;L5;498;Fell;1978-01-01T00:00:00.000;31.633330;118.983330;Point;118.98333;31.63333;;
Little Piney;14664;Valid;L5;491;Fell;1839-01-01T00:00:00.000;37.916670;-92.083330;Point;-92.08333;37.91667;18;2171
Jolomba;12199;Valid;LL6;483;Fell;1974-01-01T00:00:00.000;-11.850000;15.833330;Point;15.83333;-11.85;;
Git-Git;10919;Valid;L6;480;Fell;1947-01-01T00:00:00.000;9.600000;9.916670;Point;9.91667;9.6;;
Cali;45976;Valid;H/L4;478;Fell;2007-01-01T00:00:00.000;3.405000;-76.510000;Point;-76.51;3.405;;
Sabrum;22793;Valid;LL6;478;Fell;1999-01-01T00:00:00.000;23.083330;91.666670;Point;91.66667;23.08333;;
Nogata;16988;Valid;L6;472;Fell;0861-01-01T00:00:00.000;33.725000;130.750000;Point;130.75;33.725;;
Blansko;5072;Valid;H6;470;Fell;1833-01-01T00:00:00.000;49.366670;16.633330;Point;16.63333;49.36667;;
Malampaka;15395;Valid;H;470;Fell;1930-01-01T00:00:00.000;-3.133330;33.516670;Point;33.51667;-3.13333;;
Coleman;5401;Valid;L6;469;Fell;1994-01-01T00:00:00.000;43.761110;-84.507780;Point;-84.50778;43.76111;50;356
Nio;16982;Valid;H3-4;467;Fell;1897-01-01T00:00:00.000;34.200000;131.566670;Point;131.56667;34.2;;
Leeuwfontein;12756;Valid;L6;460;Fell;1912-01-01T00:00:00.000;-25.666670;28.366670;Point;28.36667;-25.66667;;
San Pedro Jacuaro;34063;Valid;LL6;460;Fell;1968-01-01T00:00:00.000;19.766670;-100.650000;Point;-100.65;19.76667;;
Jemlapur;12079;Valid;L6;450;Fell;1901-01-01T00:00:00.000;;;;;;;
Kheragur;12294;Valid;L6;450;Fell;1860-01-01T00:00:00.000;26.950000;77.883330;Point;77.88333;26.95;;
Kamiomi;12240;Valid;H5;448;Fell;1913-01-01T00:00:00.000;36.041670;139.956670;Point;139.95667;36.04167;;
Domanitch;7661;Valid;L5;438;Fell;1907-01-01T00:00:00.000;40.000000;29.000000;Point;29;40;;
Sayama;23192;Valid;CM2;430;Fell;1986-01-01T00:00:00.000;35.866670;139.400000;Point;139.4;35.86667;;
Neagari;16934;Valid;L6;420;Fell;1995-01-01T00:00:00.000;36.449170;136.465280;Point;136.46528;36.44917;;
Hiroshima;11889;Valid;H5;414;Fell;2003-01-01T00:00:00.000;34.450000;132.383330;Point;132.38333;34.45;;
Sazovice;23455;Valid;L5;412;Fell;1934-01-01T00:00:00.000;49.233330;17.566670;Point;17.56667;49.23333;;
Distrito Quebracho;7649;Valid;H4;400;Fell;1957-01-01T00:00:00.000;-31.883330;-60.466670;Point;-60.46667;-31.88333;;
Kangra Valley;12246;Valid;H5;400;Fell;1897-01-01T00:00:00.000;32.083330;76.300000;Point;76.3;32.08333;;
Madiun;15380;Valid;L6;400;Fell;1935-01-01T00:00:00.000;-7.750000;111.533330;Point;111.53333;-7.75;;
Madrid;15382;Valid;L6;400;Fell;1896-01-01T00:00:00.000;40.416670;-3.716670;Point;-3.71667;40.41667;;
